,article_id,product_code,prod_name,product_type_no,product_type_name,product_group_name,graphical_appearance_no,graphical_appearance_name,colour_group_code,colour_group_name,perceived_colour_value_id,perceived_colour_value_name,perceived_colour_master_id,perceived_colour_master_name,department_no,department_name,index_code,index_name,index_group_no,index_group_name,section_no,section_name,garment_group_no,garment_group_name,detail_desc,number_of_repeats
67228,750330004,750330,&DENIM Skinny HW Ancle Vanessa,272,Trousers,Garment Lower body,1010023,Denim,71,Light Blue,1,Dusty Light,2,Blue,1774,OL Extended Sizes,A,Ladieswear,1,Ladieswear,57,Ladies Denim,1016,Trousers Denim,"5-pocket, ankle-length jeans in washed stretch denim with hard-worn details, a high waist, zip fly and button and super-skinny legs.",1
67244,750422018,750422,Solange 5pkt TVP RW TVP,272,Trousers,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,1710,Trouser,A,Ladieswear,1,Ladieswear,6,Womens Casual,1009,Trousers,"5-pocket trousers in stretch twill with a regular waist, zip fly and button, and skinny legs.",16
67245,750422019,750422,Solange 5pkt TVP RW,272,Trousers,Garment Lower body,1010016,Solid,43,Dark Red,4,Dark,18,Red,1710,Trouser,A,Ladieswear,1,Ladieswear,6,Womens Casual,1009,Trousers,"5-pocket trousers in stretch twill with a regular waist, zip fly and button, and skinny legs.",1
67249,750422031,750422,Solange 5pkt TVP RW,272,Trousers,Garment Lower body,1010023,Denim,71,Light Blue,1,Dusty Light,2,Blue,1710,Trouser,A,Ladieswear,1,Ladieswear,6,Womens Casual,1009,Trousers,"5-pocket trousers in stretch twill with a regular waist, zip fly and button, and skinny legs.",3
67250,750422037,750422,Solange 5pkt TVP RW,272,Trousers,Garment Lower body,1010023,Denim,8,Dark Grey,4,Dark,12,Grey,1710,Trouser,A,Ladieswear,1,Ladieswear,6,Womens Casual,1009,Trousers,"5-pocket trousers in stretch twill with a regular waist, zip fly and button, and skinny legs.",1
67252,750422039,750422,Solange 5pkt TVP RW TVP,272,Trousers,Garment Lower body,1010023,Denim,71,Light Blue,1,Dusty Light,2,Blue,1710,Trouser,A,Ladieswear,1,Ladieswear,6,Womens Casual,1009,Trousers,"5-pocket trousers in stretch twill with a regular waist, zip fly and button, and skinny legs.",3
67253,750422041,750422,Solange 5pkt TVP RW TVP,272,Trousers,Garment Lower body,1010016,Solid,8,Dark Grey,4,Dark,12,Grey,1710,Trouser,A,Ladieswear,1,Ladieswear,6,Womens Casual,1009,Trousers,"5-pocket trousers in stretch twill with a regular waist, zip fly and button, and skinny legs.",2
67254,750423001,750423,DeLuca pull on TVP RW,272,Trousers,Garment Lower body,1010017,Stripe,73,Dark Blue,4,Dark,2,Blue,1710,Trouser,A,Ladieswear,1,Ladieswear,6,Womens Casual,1009,Trousers,"Trousers in soft twill with a regular, elasticated drawstring waist, side pockets, fake welt back pockets and tapered legs with slits at the hems.",1
67255,750423002,750423,DeLuca pull on TVP RW TVP,272,Trousers,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,1710,Trouser,A,Ladieswear,1,Ladieswear,6,Womens Casual,1009,Trousers,"Trousers in soft twill with a regular, elasticated drawstring waist, side pockets, fake welt back pockets and tapered legs with slits at the hems.",3
67260,750423009,750423,DeLuca pull on TVP RW,272,Trousers,Garment Lower body,1010016,Solid,19,Greenish Khaki,4,Dark,20,Khaki green,1710,Trouser,A,Ladieswear,1,Ladieswear,6,Womens Casual,1009,Trousers,"Trousers in soft twill with a regular, elasticated drawstring waist, side pockets, fake welt back pockets and tapered legs with slits at the hems.",2
67261,750423010,750423,DeLuca pull on TVP RW,272,Trousers,Garment Lower body,1010017,Stripe,6,Light Grey,1,Dusty Light,12,Grey,1710,Trouser,A,Ladieswear,1,Ladieswear,6,Womens Casual,1009,Trousers,"Trousers in soft twill with a regular, elasticated drawstring waist, side pockets, fake welt back pockets and tapered legs with slits at the hems.",2
67263,750423012,750423,DeLuca pull on TVP RW,272,Trousers,Garment Lower body,1010004,Check,12,Light Beige,1,Dusty Light,11,Beige,1710,Trouser,A,Ladieswear,1,Ladieswear,6,Womens Casual,1009,Trousers,"Trousers in soft twill with a regular, elasticated drawstring waist, side pockets, fake welt back pockets and tapered legs with slits at the hems.",6
67264,750423013,750423,DeLuca pull on TVP RW,272,Trousers,Garment Lower body,1010010,Melange,13,Beige,2,Medium Dusty,11,Beige,1710,Trouser,A,Ladieswear,1,Ladieswear,6,Womens Casual,1009,Trousers,"Trousers in soft twill with a regular, elasticated drawstring waist, side pockets, fake welt back pockets and tapered legs with slits at the hems.",2
67271,750424008,750424,Snow chino TVP RW TVP,272,Trousers,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,1710,Trouser,A,Ladieswear,1,Ladieswear,6,Womens Casual,1009,Trousers,"Ankle-length chinos in a soft cotton weave with a regular waist, zip fly and button, side pockets and fake back pockets with a button. Tapered legs with creases.",1
67274,750424014,750424,Snow chino TVP RW,272,Trousers,Garment Lower body,1010026,Other structure,71,Light Blue,3,Light,2,Blue,1710,Trouser,A,Ladieswear,1,Ladieswear,6,Womens Casual,1009,Trousers,"Ankle-length chinos in a soft cotton weave with a regular waist, zip fly and button, side pockets and fake back pockets with a button. Tapered legs with creases.",5
67275,750424015,750424,Snow chino TVP RW,272,Trousers,Garment Lower body,1010017,Stripe,72,Blue,7,Medium,2,Blue,1710,Trouser,A,Ladieswear,1,Ladieswear,6,Womens Casual,1009,Trousers,"Ankle-length chinos in a soft cotton weave with a regular waist, zip fly and button, side pockets and fake back pockets with a button. Tapered legs with creases.",2
67276,750424016,750424,Snow chino TVP RW,272,Trousers,Garment Lower body,1010017,Stripe,13,Beige,2,Medium Dusty,11,Beige,1710,Trouser,A,Ladieswear,1,Ladieswear,6,Womens Casual,1009,Trousers,"Ankle-length chinos in a soft cotton weave with a regular waist, zip fly and button, side pockets and fake back pockets with a button. Tapered legs with creases.",11
67277,750424017,750424,Snow chino TVP RW TVP,272,Trousers,Garment Lower body,1010016,Solid,19,Greenish Khaki,2,Medium Dusty,20,Khaki green,1710,Trouser,A,Ladieswear,1,Ladieswear,6,Womens Casual,1009,Trousers,"Ankle-length chinos in a soft cotton weave with a regular waist, zip fly and button, side pockets and fake back pockets with a button. Tapered legs with creases.",1
67278,750424018,750424,Snow chino TVP RW TVP,272,Trousers,Garment Lower body,1010017,Stripe,72,Blue,7,Medium,2,Blue,1710,Trouser,A,Ladieswear,1,Ladieswear,6,Womens Casual,1009,Trousers,"Ankle-length chinos in a soft cotton weave with a regular waist, zip fly and button, side pockets and fake back pockets with a button. Tapered legs with creases.",2
67311,750481001,750481,PUTTE overall,267,Jumpsuit/Playsuit,Garment Full body,1010016,Solid,11,Off White,1,Dusty Light,9,White,6564,Newborn,G,Baby Sizes 50-98,4,Baby/Children,44,Baby Essentials & Complements,1005,Jersey Fancy,All-in-one suit in soft pile. Hood with ears and a zip down the front that has a chin guard at the top and continues down one leg. Opening mitts at the cuffs that can be folded over to keep the hands warm. Jersey lining.,2
67324,750519001,750519,Evie padded bandeau 2p,306,Bra,Underwear,1010016,Solid,10,White,3,Light,9,White,1334,Casual Lingerie,B,Lingeries/Tights,1,Ladieswear,61,Womens Lingerie,1017,"Under-, Nightwear","Bandeau bras in lace with lined, padded cups with removable inserts that shape the bust and a concealed silicone trim at the top.",1
67325,750519002,750519,Evie padded bandeau 2p,306,Bra,Underwear,1010021,Lace,9,Black,4,Dark,5,Black,1334,Casual Lingerie,B,Lingeries/Tights,1,Ladieswear,61,Womens Lingerie,1017,"Under-, Nightwear","Bandeau bras in lace with lined, padded cups with removable inserts that shape the bust and a concealed silicone trim at the top.",7
67357,750652002,750652,STELLAN PARTY SHIRT,259,Shirt,Garment Upper body,1010016,Solid,73,Dark Blue,4,Dark,2,Blue,5777,Shirt,F,Menswear,3,Menswear,20,Contemporary Smart,1011,Shirts,"Shirt in a supersoft cotton weave with a turn-down collar that has a contrasting colour trim. Buttons down the front, yoke at the back, long sleeves with adjustable buttoning at the cuffs, and a rounded hem. Slim Fit – a fit with narrow shoulders and a tapered waist for a fitted silhouette.",2
67377,750712002,750712,Frank wrap top,258,Blouse,Garment Upper body,1010016,Solid,73,Dark Blue,4,Dark,2,Blue,1510,Blouse,A,Ladieswear,1,Ladieswear,6,Womens Casual,1010,Blouses,"Blouse in an airy weave with pleats at the shoulders and a wrapover front with a concealed press-stud. Short, wide sleeves and smocking at the back of the hem.",1
67431,751155001,751155,September Micro Push w. Straps,306,Bra,Underwear,1010016,Solid,9,Black,4,Dark,5,Black,1338,Expressive Lingerie,B,Lingeries/Tights,1,Ladieswear,61,Womens Lingerie,1017,"Under-, Nightwear","Push-up bra in microfibre with mesh and lace details and decorative straps at the front. Underwired, padded cups for a larger bust and fuller cleavage, adjustable shoulder straps and a hook-and-eye fastening at the back.",1
67467,751273007,751273,HM+ Barza tapered trs,272,Trousers,Garment Lower body,1010017,Stripe,19,Greenish Khaki,2,Medium Dusty,20,Khaki green,1919,Jersey,A,Ladieswear,1,Ladieswear,2,H&M+,1005,Jersey Fancy,"Trousers in soft viscose jersey with a regular, elasticated waist, side pockets and tapered legs.",1
67479,751295001,751295,Vovve shorts,272,Trousers,Garment Lower body,1010017,Stripe,9,Black,4,Dark,5,Black,1717,Trouser,A,Ladieswear,1,Ladieswear,11,Womens Tailoring,1009,Trousers,"High-waisted shorts in woven fabric with a wide, detachable tie belt, pleats at the front, a zip fly with hook-and-eye fasteners and side pockets.",1
67480,751295002,751295,Vovve shorts,272,Trousers,Garment Lower body,1010016,Solid,73,Dark Blue,4,Dark,2,Blue,1717,Trouser,A,Ladieswear,1,Ladieswear,11,Womens Tailoring,1009,Trousers,"High-waisted shorts in woven fabric with a wide, detachable tie belt, pleats at the front, a zip fly with hook-and-eye fasteners and side pockets.",1
67493,751342006,751342,Sunny denim skirt,275,Skirt,Garment Lower body,1010023,Denim,72,Blue,2,Medium Dusty,2,Blue,1410,Shorts & Skirts,A,Ladieswear,1,Ladieswear,6,Womens Casual,1025,Shorts,"Short, 5-pocket skirt in washed denim with a button fly, short slit at the front and cut-off, raw-edge hem.",9
67494,751342007,751342,Sunny denim skirt,275,Skirt,Garment Lower body,1010023,Denim,9,Black,4,Dark,5,Black,1410,Shorts & Skirts,A,Ladieswear,1,Ladieswear,6,Womens Casual,1025,Shorts,"Short, 5-pocket skirt in washed denim with a button fly, short slit at the front and cut-off, raw-edge hem.",1
67495,751342008,751342,Sunny denim skirt,275,Skirt,Garment Lower body,1010023,Denim,73,Dark Blue,2,Medium Dusty,2,Blue,1410,Shorts & Skirts,A,Ladieswear,1,Ladieswear,6,Womens Casual,1025,Shorts,"Short, 5-pocket skirt in washed denim with a button fly, short slit at the front and cut-off, raw-edge hem.",1
67509,751411003,751411,SKINNY PRICE 2PK,272,Trousers,Garment Lower body,1010023,Denim,9,Black,4,Dark,5,Black,8917,Young Girl Denim,I,Children Sizes 134-170,4,Baby/Children,77,Young Girl,1016,Trousers Denim,"Jeans in washed, stretch denim with an adjustable, elasticated waist (in sizes 8-12Y), zip fly and button, fake front pockets and real back pockets. Slim legs with narrow hems.",1
67522,751471001,751471,Pluto RW slacks (1),272,Trousers,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,1722,Trouser,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1009,Trousers,"Ankle-length cigarette trousers in a stretch weave with a zip fly, concealed hook-and-eye fastening, and regular waist with concealed elastication. Side pockets, fake back pockets and tapered legs.",52
67528,751471021,751471,Pluto RW slacks (1),272,Trousers,Garment Lower body,1010004,Check,12,Light Beige,2,Medium Dusty,11,Beige,1722,Trouser,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1009,Trousers,"Ankle-length cigarette trousers in a stretch weave with a zip fly, concealed hook-and-eye fastening, and regular waist with concealed elastication. Side pockets, fake back pockets and tapered legs.",8
67529,751471022,751471,Pluto RW slacks (1),272,Trousers,Garment Lower body,1010016,Solid,19,Greenish Khaki,4,Dark,20,Khaki green,1722,Trouser,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1009,Trousers,"Ankle-length cigarette trousers in a stretch weave with a zip fly, concealed hook-and-eye fastening, and regular waist with concealed elastication. Side pockets, fake back pockets and tapered legs.",22
67530,751471023,751471,Pluto RW slacks (1),272,Trousers,Garment Lower body,1010001,All over pattern,9,Black,4,Dark,5,Black,1722,Trouser,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1009,Trousers,"Ankle-length cigarette trousers in a stretch weave with a zip fly, concealed hook-and-eye fastening, and regular waist with concealed elastication. Side pockets, fake back pockets and tapered legs.",1
67531,751471026,751471,Pluto RW slacks (1),272,Trousers,Garment Lower body,1010016,Solid,12,Light Beige,1,Dusty Light,11,Beige,1722,Trouser,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1009,Trousers,"Ankle-length cigarette trousers in a stretch weave with a zip fly, concealed hook-and-eye fastening, and regular waist with concealed elastication. Side pockets, fake back pockets and tapered legs.",3
67532,751471027,751471,Pluto RW slacks (1),272,Trousers,Garment Lower body,1010016,Solid,73,Dark Blue,4,Dark,2,Blue,1722,Trouser,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1009,Trousers,"Ankle-length cigarette trousers in a stretch weave with a zip fly, concealed hook-and-eye fastening, and regular waist with concealed elastication. Side pockets, fake back pockets and tapered legs.",2
67533,751471031,751471,Pluto RW slacks (1),272,Trousers,Garment Lower body,1010016,Solid,14,Dark Beige,4,Dark,11,Beige,1722,Trouser,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1009,Trousers,"Ankle-length cigarette trousers in a stretch weave with a zip fly, concealed hook-and-eye fastening, and regular waist with concealed elastication. Side pockets, fake back pockets and tapered legs.",1
67534,751471033,751471,Pluto RW slacks (1),272,Trousers,Garment Lower body,1010016,Solid,52,Pink,2,Medium Dusty,4,Pink,1722,Trouser,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1009,Trousers,"Ankle-length cigarette trousers in a stretch weave with a zip fly, concealed hook-and-eye fastening, and regular waist with concealed elastication. Side pockets, fake back pockets and tapered legs.",9
67535,751471034,751471,Pluto RW slacks (1),272,Trousers,Garment Lower body,1010006,Dot,9,Black,4,Dark,5,Black,1722,Trouser,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1009,Trousers,"Ankle-length cigarette trousers in a stretch weave with a zip fly, concealed hook-and-eye fastening, and regular waist with concealed elastication. Side pockets, fake back pockets and tapered legs.",3
67536,751471035,751471,Pluto RW slacks (1),272,Trousers,Garment Lower body,1010001,All over pattern,93,Dark Green,4,Dark,19,Green,1722,Trouser,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1009,Trousers,"Ankle-length cigarette trousers in a stretch weave with a zip fly, concealed hook-and-eye fastening, and regular waist with concealed elastication. Side pockets, fake back pockets and tapered legs.",4
67538,751471037,751471,Pluto RW slacks (1),272,Trousers,Garment Lower body,1010012,Mixed solid/pattern,8,Dark Grey,4,Dark,12,Grey,1722,Trouser,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1009,Trousers,"Ankle-length cigarette trousers in a stretch weave with a zip fly, concealed hook-and-eye fastening, and regular waist with concealed elastication. Side pockets, fake back pockets and tapered legs.",8
67539,751471038,751471,Pluto RW slacks (1),272,Trousers,Garment Lower body,1010004,Check,9,Black,4,Dark,5,Black,1722,Trouser,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1009,Trousers,"Ankle-length cigarette trousers in a stretch weave with a zip fly, concealed hook-and-eye fastening, and regular waist with concealed elastication. Side pockets, fake back pockets and tapered legs.",2
67540,751471039,751471,Pluto RW slacks (1),272,Trousers,Garment Lower body,1010004,Check,9,Black,4,Dark,5,Black,1722,Trouser,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1009,Trousers,"Ankle-length cigarette trousers in a stretch weave with a zip fly, concealed hook-and-eye fastening, and regular waist with concealed elastication. Side pockets, fake back pockets and tapered legs.",8
67541,751471041,751471,Pluto RW slacks (1),272,Trousers,Garment Lower body,1010016,Solid,13,Beige,2,Medium Dusty,1,Mole,1722,Trouser,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1009,Trousers,"Ankle-length cigarette trousers in a stretch weave with a zip fly, concealed hook-and-eye fastening, and regular waist with concealed elastication. Side pockets, fake back pockets and tapered legs.",7
67542,751471042,751471,Pluto RW slacks (1),272,Trousers,Garment Lower body,1010016,Solid,73,Dark Blue,4,Dark,2,Blue,1722,Trouser,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1009,Trousers,"Ankle-length cigarette trousers in a stretch weave with a zip fly, concealed hook-and-eye fastening, and regular waist with concealed elastication. Side pockets, fake back pockets and tapered legs.",6
67543,751471043,751471,Pluto RW slacks (1),272,Trousers,Garment Lower body,1010004,Check,9,Black,4,Dark,5,Black,1722,Trouser,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1009,Trousers,"Ankle-length cigarette trousers in a stretch weave with a zip fly, concealed hook-and-eye fastening, and regular waist with concealed elastication. Side pockets, fake back pockets and tapered legs.",24
67555,751530001,751530,Strawberry HW pullon,274,Shorts,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,1723,Shorts,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1025,Shorts,"Short shorts in a viscose and linen weave with a high, elasticated waist, small frill trim at the top, large patch pockets at the sides and wide legs.",1
67556,751530002,751530,Strawberry HW pullon,274,Shorts,Garment Lower body,1010016,Solid,33,Dark Orange,2,Medium Dusty,13,Brown,1723,Shorts,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1025,Shorts,"Short shorts in a viscose and linen weave with a high, elasticated waist, small frill trim at the top, large patch pockets at the sides and wide legs.",2
67557,751530003,751530,Strawberry HW pullon,274,Shorts,Garment Lower body,1010010,Melange,12,Light Beige,1,Dusty Light,11,Beige,1723,Shorts,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1025,Shorts,"Short shorts in a viscose and linen weave with a high, elasticated waist, small frill trim at the top, large patch pockets at the sides and wide legs.",1
67563,751534006,751534,Daybyday HW,274,Shorts,Garment Lower body,1010017,Stripe,9,Black,4,Dark,5,Black,1723,Shorts,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1025,Shorts,"Shorts in woven fabric with hook-and-eye fasteners, a zip fly and side pockets. High waist with pleats at the front, elastication at the back and a detachable tie belt.",1
67569,751551001,751551,HM+ Track dress,265,Dress,Garment Full body,1010016,Solid,9,Black,4,Dark,5,Black,1919,Jersey,A,Ladieswear,1,Ladieswear,2,H&M+,1005,Jersey Fancy,"Calf-length dress in soft viscose jersey with a round neckline, short sleeves and high slits in the sides. Unlined.",2
67570,751551004,751551,HM+ Track dress,265,Dress,Garment Full body,1010016,Solid,19,Greenish Khaki,2,Medium Dusty,20,Khaki green,1919,Jersey,A,Ladieswear,1,Ladieswear,2,H&M+,1005,Jersey Fancy,"Calf-length dress in soft viscose jersey with a round neckline, short sleeves and high slits in the sides. Unlined.",1
67588,751567004,751567,Diego denim shorts,274,Shorts,Garment Lower body,1010023,Denim,72,Blue,2,Medium Dusty,2,Blue,1410,Shorts & Skirts,A,Ladieswear,1,Ladieswear,6,Womens Casual,1025,Shorts,"5-pocket shorts in washed, stretch denim with a regular waist, zip fly and button and raw-edge, cut-off hems.",1
67589,751567006,751567,Diego denim shorts,274,Shorts,Garment Lower body,1010023,Denim,72,Blue,3,Light,2,Blue,1410,Shorts & Skirts,A,Ladieswear,1,Ladieswear,6,Womens Casual,1025,Shorts,"5-pocket shorts in washed, stretch denim with a regular waist, zip fly and button and raw-edge, cut-off hems.",7
67590,751567009,751567,Diego denim shorts TVP,274,Shorts,Garment Lower body,1010023,Denim,8,Dark Grey,4,Dark,12,Grey,1410,Shorts & Skirts,A,Ladieswear,1,Ladieswear,6,Womens Casual,1025,Shorts,"5-pocket shorts in washed, stretch denim with a regular waist, zip fly and button and raw-edge, cut-off hems.",1
67591,751567010,751567,Diego denim shorts TVP,274,Shorts,Garment Lower body,1010023,Denim,51,Light Pink,1,Dusty Light,4,Pink,1410,Shorts & Skirts,A,Ladieswear,1,Ladieswear,6,Womens Casual,1025,Shorts,"5-pocket shorts in washed, stretch denim with a regular waist, zip fly and button and raw-edge, cut-off hems.",1
67592,751567012,751567,Diego denim shorts TVP,274,Shorts,Garment Lower body,1010023,Denim,73,Dark Blue,2,Medium Dusty,2,Blue,1410,Shorts & Skirts,A,Ladieswear,1,Ladieswear,6,Womens Casual,1025,Shorts,"5-pocket shorts in washed, stretch denim with a regular waist, zip fly and button and raw-edge, cut-off hems.",1
67593,751583002,751583,PIPER CULOTTES,272,Trousers,Garment Lower body,1010016,Solid,73,Dark Blue,4,Dark,2,Blue,1660,Jersey,A,Ladieswear,1,Ladieswear,6,Womens Casual,1005,Jersey Fancy,"Wide, calf-length trousers in jersey. Regular waist with concealed elastication at the back and pleats at the front, and diagonal side pockets.",1
67599,751591001,751591,Taylor blouse,258,Blouse,Garment Upper body,1010017,Stripe,73,Dark Blue,2,Medium Dusty,2,Blue,1510,Blouse,A,Ladieswear,1,Ladieswear,6,Womens Casual,1010,Blouses,Blouse in an airy weave with a V-neck and a rounded hem with short slits in the sides. Longer at the back.,1
67602,751591007,751591,Taylor blouse,258,Blouse,Garment Upper body,1010016,Solid,19,Greenish Khaki,4,Dark,20,Khaki green,1510,Blouse,A,Ladieswear,1,Ladieswear,6,Womens Casual,1010,Blouses,Blouse in an airy weave with a V-neck and a rounded hem with short slits in the sides. Longer at the back.,1
67603,751592001,751592,Astrid shirt,259,Shirt,Garment Upper body,1010016,Solid,10,White,3,Light,9,White,1510,Blouse,A,Ladieswear,1,Ladieswear,6,Womens Casual,1010,Blouses,"Shirt in an airy cotton weave with a collar, buttons down the front and an open chest pocket. Long sleeves with buttoned cuffs, and a gently rounded hem.",19
67609,751593001,751593,Lorentzo flannel shirt,259,Shirt,Garment Upper body,1010004,Check,42,Red,7,Medium,18,Red,1510,Blouse,A,Ladieswear,1,Ladieswear,6,Womens Casual,1010,Blouses,"Shirt in soft, lightweight cotton flannel with a collar and buttons down the front. Dropped shoulders, long sleeves with buttoned cuffs, an open chest pocket and a rounded hem. Slightly longer at the back.",1
67617,751628001,751628,Drogba tencel tunic,265,Dress,Garment Full body,1010023,Denim,73,Dark Blue,4,Dark,2,Blue,1310,Dress,A,Ladieswear,1,Ladieswear,6,Womens Casual,1013,Dresses Ladies,Straight-cut tunic in soft Tencel™ lyocell denim with a V-neck and rounded hem with short slits in the sides.,1
67625,751664001,751664,Space 5 pkt RW tregging,272,Trousers,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,1722,Trouser,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1009,Trousers,"Treggings in superstretch twill with an elasticated waist, fake front pockets, real back pockets and skinny legs.",23
67656,751788001,751788,Boxer,264,Blazer,Garment Upper body,1010016,Solid,9,Black,4,Dark,5,Black,1212,Suit,A,Ladieswear,1,Ladieswear,11,Womens Tailoring,1008,Dressed,"Gently tailored jacket in a crêpe weave with notch lapels, gathered, 3/4-length sleeves and side pockets. No fasteners. Lined.",3
67657,751788002,751788,Boxer,264,Blazer,Garment Upper body,1010016,Solid,10,White,3,Light,9,White,1212,Suit,A,Ladieswear,1,Ladieswear,11,Womens Tailoring,1008,Dressed,"Gently tailored jacket in a crêpe weave with notch lapels, gathered, 3/4-length sleeves and side pockets. No fasteners. Lined.",3
67673,751794006,751794,Maybelline,265,Dress,Garment Full body,1010001,All over pattern,10,White,3,Light,-1,Unknown,2032,Jersey,A,Ladieswear,1,Ladieswear,8,Mama,1005,Jersey Fancy,"Long, sleeveless dress in viscose jersey with frilled, elasticated shoulder straps, a double layer at the top and an elasticated seam under the bust.",1
67675,751795002,751795,Luca waterproof low SG,94,Sneakers,Shoes,1010016,Solid,53,Dark Pink,7,Medium,4,Pink,4311,Kids Girl Shoes,J,"Children Accessories, Swimwear",4,Baby/Children,42,Kids & Baby Shoes,1020,Shoes,"Waterproof trainers in mesh with imitation leather details, a padded edge and tongue, adjustable hook and loop tab at the front, a grosgrain loop at the back, and reflective details. Mesh linings and insoles and chunky soles.",1
67698,751870005,751870,Asap HW wide,272,Trousers,Garment Lower body,1010001,All over pattern,73,Dark Blue,4,Dark,2,Blue,1722,Trouser,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1009,Trousers,"Trousers in a softly draping, patterned viscose weave with a high waist, tie belt and zip fly with a concealed button. Pleats at the front, side pockets and straight, wide legs.",1
67700,751906001,751906,Sandra Dress,265,Dress,Garment Full body,1010001,All over pattern,12,Light Beige,1,Dusty Light,11,Beige,1313,Dress,A,Ladieswear,1,Ladieswear,11,Womens Tailoring,1013,Dresses Ladies,"Long, flared dress in a patterned weave. Narrow cut at the top with a slim band at the neckline, an opening with a hook-and-eye fastening at the back of the neck and a seam and wide flounce at the hem. Satin lining.",1
67707,751915001,751915,Stormzy Top,253,Vest top,Garment Upper body,1010016,Solid,33,Dark Orange,4,Dark,3,Orange,1522,Blouse,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1010,Blouses,"Sleeveless blouse in airy, crinkled fabric with a V-neck, seam under the bust and flare to the hem. Lined.",2
67708,751915002,751915,Stormzy Top,253,Vest top,Garment Upper body,1010001,All over pattern,11,Off White,1,Dusty Light,9,White,1522,Blouse,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1010,Blouses,"Sleeveless blouse in airy, crinkled fabric with a V-neck, seam under the bust and flare to the hem. Lined.",2
67710,751935001,751935,Nella Off-shoulder dress,265,Dress,Garment Full body,1010016,Solid,10,White,3,Light,9,White,1322,Dress,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1013,Dresses Ladies,"Calf-length dress in a cotton weave with a sewn-in wrapover at the top, narrow, adjustable shoulder straps and a V-neck with a wide, elasticated flounced trim. Seam below the bust and a seam and wide flounce at the hem. Lined.",1
67711,751936001,751936,Maria Dress,265,Dress,Garment Full body,1010021,Lace,91,Light Green,1,Dusty Light,19,Green,1666,Jersey,A,Ladieswear,1,Ladieswear,11,Womens Tailoring,1005,Jersey Fancy,"Calf-length, sleeveless lace dress with a V-neck and adjustable spaghetti shoulder straps. Concealed zip in one side, a seam at the waist with pleats, and a flared skirt with a raw-edge, scalloped hem. Jersey lining.",2
67712,751936002,751936,Maria Dress,265,Dress,Garment Full body,1010021,Lace,52,Pink,7,Medium,4,Pink,1666,Jersey,A,Ladieswear,1,Ladieswear,11,Womens Tailoring,1005,Jersey Fancy,"Calf-length, sleeveless lace dress with a V-neck and adjustable spaghetti shoulder straps. Concealed zip in one side, a seam at the waist with pleats, and a flared skirt with a raw-edge, scalloped hem. Jersey lining.",2
67732,751994003,751994,Slim 5pkt Midprice,272,Trousers,Garment Lower body,1010023,Denim,71,Light Blue,1,Dusty Light,2,Blue,5672,Denim trousers,F,Menswear,3,Menswear,56,Denim Men,1016,Trousers Denim,"5-pocket jeans in washed denim with a regular waist, zip fly and slim legs.",5
67735,751994006,751994,Slim 5pkt Midprice,272,Trousers,Garment Lower body,1010023,Denim,72,Blue,2,Medium Dusty,2,Blue,5672,Denim trousers,F,Menswear,3,Menswear,56,Denim Men,1016,Trousers Denim,"5-pocket jeans in washed denim with a regular waist, zip fly and slim legs.",1
67736,751994007,751994,Slim 5pkt Midprice,272,Trousers,Garment Lower body,1010023,Denim,9,Black,4,Dark,5,Black,5672,Denim trousers,F,Menswear,3,Menswear,56,Denim Men,1016,Trousers Denim,"5-pocket jeans in washed denim with a regular waist, zip fly and slim legs.",2
